source_name,headline,published_at,source_url,financial_score,financial_label,pr_score,pr_label,article_type_hint,gate_decision,institutions,matched_financial_terms,matched_pr_terms,pr_counter_signals,human_label,review_notes,analysis_file
Daily FT,"Ceylinco Life dominates NAFLIA 2026 with 12 top honours, including five National Awards",2026-09-14T00:39:00+05:30,https://www.ft.lk/financial-services/Ceylinco-Life-dominates-NAFLIA-2026-with-12-top-honours-including-five-National-Awards/42-797170,10,LOW,63,POSSIBLE_PR,POSSIBLE_CORPORATE_PR,EXCLUDE_NOISE,,governance:chairman,strong_promotional:honoured|recognised as|recognition; launches_events:event|knowledge-sharing,,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\585f3cb8316b8632.json
Daily FT,SDB bank Banking Sector runner-up at National Business Excellence Awards,2026-09-14T00:37:00+05:30,https://www.ft.lk/financial-services/SDB-bank-Banking-Sector-runner-up-at-National-Business-Excellence-Awards/42-797169,58,MEDIUM,30,LOW_PR_SIGNAL,SUPERVISORY_NEWS_CANDIDATE,WATCH,,banking_core:bank|banking|financial institution; governance:ceo|chairman|governance,strong_promotional:recognised as|recognition,,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\f9a0d430fbdb18da.json
Daily FT,Senthilverl Holdings’ stake in Sarvodaya Development Finance crosses 10%,2026-09-11T05:56:00+05:30,https://www.ft.lk/financial-services/Senthilverl-Holdings-stake-in-Sarvodaya-Development-Finance-crosses-10/42-797095,22,LOW,0,LOW_PR_SIGNAL,GENERAL_BUSINESS_OR_NOISE,EXCLUDE_NOISE,,banking_core:finance company; financial_performance:assets; transactions_structure:acquisition,,,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\0f1156ebf3732569.json
Daily FT,CSE extends losses over geopolitical concerns,2026-09-11T05:57:00+05:30,https://www.ft.lk/financial-services/CSE-extends-losses-over-geopolitical-concerns/42-797096,7,LOW,0,LOW_PR_SIGNAL,GENERAL_BUSINESS_OR_NOISE,EXCLUDE_NOISE,,banking_core:banking,,,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\92fc243025c3942d.json
Daily FT,Central bank reserves need bigger buffers and sharper judgement: AIIB,2026-09-11T05:58:00+05:30,https://www.ft.lk/financial-services/Central-bank-reserves-need-bigger-buffers-and-sharper-judgement-AIIB/42-797097,100,HIGH,0,LOW_PR_SIGNAL,SUPERVISORY_NEWS_CANDIDATE,INCLUDE_CANDIDATE,Central Bank of Sri Lanka,banking_core:bank|banking|credit|lender; supervisory_risk:credit risk|default; prudential_regulatory:central bank|central bank of sri lanka; financial_performance:assets; transactions_structure:credit rating; payments_digital:payment systems,launches_events:campaign|conference|event,default; liquidity,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\1da8e2f555a565eb.json
Daily FT,Bond market activity subdued ahead of auctions,2026-09-11T05:54:00+05:30,https://www.ft.lk/financial-services/Bond-market-activity-subdued-ahead-of-auctions/42-797094,56,MEDIUM,0,LOW_PR_SIGNAL,SUPERVISORY_NEWS_CANDIDATE,WATCH,Central Bank of Sri Lanka,banking_core:bank|lending; prudential_regulatory:central bank|central bank of sri lanka,,liquidity,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\8e03a36260086cd5.json
Daily FT,Dearo Venture Capital strengthens leadership,2026-09-14T00:42:00+05:30,https://www.ft.lk/financial-services/Dearo-Venture-Capital-strengthens-leadership/42-797171,54,MEDIUM,42,POSSIBLE_PR,SUPERVISORY_NEWS_CANDIDATE,WATCH,,banking_core:bank|banking; governance:appointed|appointment|board of directors|ceo|chairman|corporate governance|director|directors|governance|independent non-executive director|non-executive director,strong_promotional:proudly; launches_events:conference|event|unveils,,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\85f84a7a7db06236.json
Daily FT,CFA Society Sri Lanka Capital Market Awards 2026 recognises excellence,2026-09-14T00:57:00+05:30,https://www.ft.lk/financial-services/CFA-Society-Sri-Lanka-Capital-Market-Awards-2026-recognises-excellence/42-797173,66,HIGH,29,LOW_PR_SIGNAL,SUPERVISORY_NEWS_CANDIDATE,INCLUDE_CANDIDATE,Hatton National Bank; National Development Bank,banking_core:bank|banking; governance:chairman|chairperson|director,launches_events:event; csr_branding:sponsored|sponsors,,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\99b4aa828ae0ac4a.json
Daily FT,Union Assurance secures multiple national-level awards at NAFLIA 2026,2026-09-11T05:53:00+05:30,https://www.ft.lk/financial-services/Union-Assurance-secures-multiple-national-level-awards-at-NAFLIA-2026/42-797093,25,LOW,37,LOW_PR_SIGNAL,GENERAL_BUSINESS_OR_NOISE,EXCLUDE_NOISE,Nations Trust Bank,banking_core:banking,strong_promotional:recognised as|recognition; routine_business:partnership,,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\156fb6d5a3b57528.json
Daily FT,Foreign holdings in rupee Treasuries resume upward momentum,2026-09-14T00:46:00+05:30,https://www.ft.lk/financial-services/Foreign-holdings-in-rupee-Treasuries-resume-upward-momentum/42-797172,49,MEDIUM,0,LOW_PR_SIGNAL,GENERAL_FINANCIAL,WATCH,Central Bank of Sri Lanka,banking_core:bank; prudential_regulatory:central bank|central bank of sri lanka,launches_events:event,liquidity,,,C:\Users\thanuka\Desktop\Projects\News Scrap\data\processed\stage1\2026-09-14\daily_ft\288a93f283de4bb1.json
